code,name,lat_degrees,lat_minutes,lat_seconds,lat_direction,lon_degrees,lon_minutes,lon_seconds,lon_direction,magnetic_variation,hidden
VCPMD,Port Moody,49,17,18,N,122,49,42,W,-16,FALSE
VCQEP,Qe Park,49,14,18,N,123,7,24,W,-16,FALSE
VCRRY,Rail Yard,49,15,42,N,122,46,6,W,-16,FALSE
VCRMD,Richmond Square,49,9,30,N,123,7,48,W,-16,FALSE
VCRKY,Rocky,48,58,36,N,122,20,24,W,-16,FALSE
VCSAL,Salmon,49,11,0,N,123,22,0,W,-16,FALSE
VCSAM,Samuel Island,48,49,30,N,123,12,54,W,-16,FALSE
VCSAN,Sandheads,49,6,18,N,123,18,6,W,-16,FALSE
VCFAR,Seafair,49,8,48,N,123,13,30,W,-16,FALSE
VCSEC,Second Narrows,49,18,18,N,123,1,6,W,-16,FALSE
VCSEV,Seventeens,49,3,30,N,123,3,24,W,-16,FALSE
VCSHW,Shawnigan Lake,48,38,30,N,123,38,30,W,-16,FALSE
VCSNK,Snake Island,49,12,54,N,123,53,6,W,-16,FALSE
VCSOM,Somenos Lake,48,48,12,N,123,42,18,W,-16,FALSE
VCSOO,Sooke Lake,48,34,24,N,123,40,54,W,-16,FALSE
VCCPL,South Cement Plant,49,8,30,N,123,0,36,W,-16,FALSE
VCSPR,Spring,49,17,12,N,123,17,30,W,-16,FALSE
VCSTE,Steel,49,13,12,N,123,23,12,W,-16,FALSE
VCSDY,Strdy,48,55,42,N,123,20,18,W,-16,FALSE
VCSRT,Stuart Island,48,41,12,N,123,13,54,W,-16,FALSE
VCSWN,Swaneset,49,18,30,N,122,39,48,W,-16,FALSE
VCTEE,Teehar,49,4,42,N,123,29,42,W,-16,FALSE
VCTRA,Terra-Nova,49,10,18,N,123,14,0,W,-16,FALSE
VCIII,Third Beach,49,18,30,N,123,10,12,W,-16,FALSE
VCTRV,Toriv,49,9,18,N,123,30,24,W,-16,FALSE
VCTVN,Tovan,48,52,24,N,123,13,0,W,-16,FALSE
VCTVC,Tovic,48,55,30,N,123,17,42,W,-16,FALSE
VCTUP,Tupor,49,4,0,N,123,26,48,W,-16,FALSE
VCVAL,Valdez,49,4,42,N,123,39,24,W,-16,FALSE
VCVES,Vesuvius Bay,48,52,0,N,123,33,24,W,-16,FALSE
VCVOR,Vor,49,4,36,N,123,8,54,W,-16,FALSE
VCWPT,Westpoint,48,58,18,N,123,5,0,W,-16,FALSE
VCWWL,Westwood Lake,49,10,0,N,124,0,0,W,-16,FALSE
VCWHT,White Rock,49,0,12,N,122,45,0,W,-16,FALSE
VCYPT,Yellow Point,49,2,20,N,123,44,50,W,-16,FALSE
