weight_lb,pressure_alt_ft,temperature_c,kias,fpm,time_min,fuel_gal,distance_nm
2300,0,15,78,645,0,0,0
2300,1000,13,77,605,2,0.3,2
2300,2000,11,76,560,3,0.7,4
2300,3000,9,75,520,5,1.1,7
2300,4000,7,74,480,7,1.5,9
2300,5000,5,73,435,9,1.9,12
2300,6000,3,72,395,12,2.3,16
2300,7000,1,71,355,15,2.8,19
2300,8000,-1,70,315,18,3.3,23
2300,9000,-3,69,270,21,3.9,28
2300,10000,-5,68,230,25,4.5,33
2300,11000,-7,67,185,30,5.2,40
2300,12000,-9,66,145,36,6.1,48
