aerodrome_id,number,position,length_ft,landing_length_ft,interception_departure_length_ft,surface_id
42,7,,5606,5606,,1
42,13,,5605,4505,4505,1
42,25,,5606,4582,,1
42,31,,5605,4505,,1
43,1,,5328,5328,4204,1
43,7,,9597,9597,,1
43,19,,5328,4600,,1
43,25,,9597,8400,,1
44,1,,2100,1996,,1
44,7,,2743,2089,,1
44,19,,2100,2004,,1
44,25,,2743,2400,,1
45,8,R,5003,4806,,1
45,8,L,2485,2485,,1
45,18,,2484,2484,,1
45,26,R,2485,2485,,1
45,26,L,5003,4839,,1
45,36,,2484,2484,,1
